donor	receiver	compound	rate	mass_rate	community	medium
Eggerthella_lenta_DSM_2243	Collinsella_aerofaciens_ATCC_25986	M_cholate__91__e__93__	4.675497152004815	1.9055545027156715	all	LB_extend
Collinsella_aerofaciens_ATCC_25986	Eggerthella_lenta_DSM_2243	M_3dhchol__91__e__93__	4.675497152004815	1.89612963555666	all	LB_extend
Blautia_hydrogenotrophica_DSM_10507	Eggerthella_lenta_DSM_2243	M_nzp__91__e__93__	6.249572282735372	1.7577903228041627	all	LB_extend
Eggerthella_lenta_DSM_2243	Blautia_hydrogenotrophica_DSM_10507	M_anzp__91__e__93__	6.249572282735372	1.5704093970509079	all	LB_extend
Eggerthella_lenta_DSM_2243	Blautia_hydrogenotrophica_DSM_10507	M_for__91__e__93__	17.183695751775765	0.7735653051359903	all	LB_extend
Blautia_hydrogenotrophica_DSM_10507	Eggerthella_lenta_DSM_2243	M_co2__91__e__93__	14.150502428929425	0.6227565366459696	all	LB_extend
Eggerthella_lenta_DSM_2243	Clostridium_hiranonis_TO_931_DSM_13275	M_cholate__91__e__93__	1.0208923766128708	0.4160768367078572	all	LB_extend
Clostridium_hiranonis_TO_931_DSM_13275	Eggerthella_lenta_DSM_2243	M_12dhchol__91__e__93__	1.0208923766128708	0.41401892185508093	all	LB_extend
Eggerthella_lenta_DSM_2243	Collinsella_aerofaciens_ATCC_25986	M_for__91__e__93__	7.677894313384642	0.34563883946336177	all	LB_extend
Collinsella_aerofaciens_ATCC_25986	Eggerthella_lenta_DSM_2243	M_co2__91__e__93__	7.349268643724146	0.32343763837597783	all	LB_extend
Eggerthella_lenta_DSM_2243	Blautia_hydrogenotrophica_DSM_10507	M_h2o__91__e__93__	9.702078809827418	0.17478489017480292	all	LB_extend
Blautia_hydrogenotrophica_DSM_10507	Eubacterium_rectale_ATCC_33656	M_lac_L__91__e__93__	1.647396955877611	0.14673331738062764	all	LB_extend
Clostridium_hiranonis_TO_931_DSM_13275	Eggerthella_lenta_DSM_2243	M_fum__91__e__93__	0.9949594995770414	0.11348129967565895	all	LB_extend
Collinsella_aerofaciens_ATCC_25986	Blautia_hydrogenotrophica_DSM_10507	M_etoh__91__e__93__	2.354501588122906	0.10846765006196363	all	LB_extend
Eubacterium_rectale_ATCC_33656	Blautia_hydrogenotrophica_DSM_10507	M_etoh__91__e__93__	1.954668136808543	0.09004804266012331	all	LB_extend
Eubacterium_rectale_ATCC_33656	Clostridium_hiranonis_TO_931_DSM_13275	M_ala_L__91__e__93__	0.9697188185807791	0.08639506173193551	all	LB_extend
Blautia_hydrogenotrophica_DSM_10507	Eubacterium_rectale_ATCC_33656	M_acald__91__e__93__	1.954668136808543	0.08610782262994467	all	LB_extend
Blautia_hydrogenotrophica_DSM_10507	Eggerthella_lenta_DSM_2243	M_h2__91__e__93__	39.312786716774	0.07924671546367303	all	LB_extend
Eggerthella_lenta_DSM_2243	Collinsella_aerofaciens_ATCC_25986	M_ac__91__e__93__	1.0582864973657662	0.06248536212181456	all	LB_extend
Blautia_hydrogenotrophica_DSM_10507	Bacteroides_thetaiotaomicron_VPI_5482	M_nzp__91__e__93__	0.2015194307113961	0.05668050374264233	all	LB_extend
Blautia_hydrogenotrophica_DSM_10507	Clostridium_hiranonis_TO_931_DSM_13275	M_acald__91__e__93__	1.2440339140308612	0.054802679594453105	all	LB_extend
Clostridium_hiranonis_TO_931_DSM_13275	Blautia_hydrogenotrophica_DSM_10507	M_etoh__91__e__93__	1.1305223635863746	0.05208113035016982	all	LB_extend
environment	Bacteroides_thetaiotaomicron_VPI_5482	M_pro_L__91__e__93__	0.4447629829192889	0.05120560669979602	all	LB_extend
Bacteroides_thetaiotaomicron_VPI_5482	Blautia_hydrogenotrophica_DSM_10507	M_anzp__91__e__93__	0.2015194307113961	0.050638346651622534	all	LB_extend
Eubacterium_rectale_ATCC_33656	Collinsella_aerofaciens_ATCC_25986	M_ac__91__e__93__	0.6822708993974486	0.04028393475693302	all	LB_extend
Eubacterium_rectale_ATCC_33656	Bacteroides_thetaiotaomicron_VPI_5482	M_czp__91__e__93__	0.12583557348903657	0.03972764957468253	all	LB_extend
Collinsella_aerofaciens_ATCC_25986	Blautia_hydrogenotrophica_DSM_10507	M_h2o__91__e__93__	2.142417683910057	0.038596083059176466	all	LB_extend
Bacteroides_thetaiotaomicron_VPI_5482	Eubacterium_rectale_ATCC_33656	M_7a_czp__91__e__93__	0.12583557348903657	0.035954721574760755	all	LB_extend
Eubacterium_rectale_ATCC_33656	Eggerthella_lenta_DSM_2243	M_co2__91__e__93__	0.7304971945782555	0.032148816284791736	all	LB_extend
Prevotella_copri_CB7_DSM_18205	Eggerthella_lenta_DSM_2243	M_nzp__91__e__93__	0.10264350983330892	0.028870098643722523	all	LB_extend
